id;ddd;numero;tipo_telefone;status;criado_em;atualizado_em
cfead0e6-e391-4fcb-aa04-dd9fbac1b397;1;6;FIXO;false;2022-10-13T07:19:49;2022-10-13T15:10:47
ece74945-1861-4dbc-9f10-c2098dbccd3f;0;3;FIXO;true;2022-10-13T04:43:16;2022-10-12T21:18:48
33886cda-267a-4524-a5e1-1473ff2873bc;2;5;CELULAR;true;2022-10-13T11:32:23;2022-10-13T18:02:23
44dee589-7a94-4bac-802e-6b739032514e;2;5;FIXO;false;2022-10-13T15:17:25;2022-10-13T11:33:42
e6b25296-25ea-4d0e-ad93-2e7ab3ec4346;1;4;CELULAR;false;2022-10-13T18:57:51;2022-10-13T13:26:19
22e3d15a-c7e1-4086-8fd7-b695985612a9;1;2;FIXO;true;2022-10-12T21:57:52;2022-10-12T22:45:27
2301ac09-6e99-40d9-a6ff-275bb741bee6;2;9;FIXO;true;2022-10-12T23:03:07;2022-10-13T09:27:50
1de16c41-b0b4-44c2-8a25-660522a39d12;0;7;FIXO;true;2022-10-13T16:44:28;2022-10-12T21:27:43
ffdf8b09-d63d-4cc8-8839-0e662321655a;2;1;FIXO;false;2022-10-13T05:06:50;2022-10-13T07:21:13
4aa4d509-ede9-4ae4-a4f0-f7812cdfc6ea;1;2;FIXO;false;2022-10-13T05:41:43;2022-10-13T17:02:37
